postal code,latitude,longitude
95903,+39.1060986,-121.3681796
95910,+39.4911263,-120.8172323
95912,+39.0167022,-122.0621433
95914,+39.4490043,-121.3305213
33603,+27.9856178,-082.4644389
37355,+35.4997867,-086.0838331
33604,+28.0171543,-082.4553503
37356,+35.2288775,-085.8236940
37357,+35.5852879,-085.9173400
37359,+35.2042001,-086.4128769
37360,+35.4375961,-086.2543385
37361,+35.1012493,-084.6866341
53526,+42.9740511,-090.3436063
61842,+40.2386770,-088.6653946
53527,+43.0513571,-089.1922572
61843,+40.3172413,-088.3739027
53528,+43.1183001,-089.6380136
53529,+43.2425580,-089.5146905
61844,+40.1429666,-087.8692075
61845,+40.3736206,-088.3968137
53530,+42.6938288,-090.1058903
61846,+39.9772517,-087.6075376
53531,+43.0622164,-089.1023929
61847,+40.3193021,-088.0112425
61848,+40.3080604,-087.7027714
61849,+40.0142263,-087.9673702
61850,+39.9310081,-087.7385813
31793,+31.4625115,-083.5935432
61851,+39.9608195,-088.4347235
53532,+43.2502038,-089.3263292
61857,+40.1165537,-087.8422799
53536,+42.7612331,-089.2678618
61852,+39.9031522,-088.0757988
61853,+40.2149558,-088.4211710
53533,+42.9967368,-090.1621789
61854,+40.1998724,-088.5293281
02543,+41.4789740,-070.7669110
94516,+37.8339014,-122.1650340
94517,+37.8902169,-121.8783538
94518,+37.9503623,-122.0220390
94519,+37.9884511,-122.0130006
02536,+41.5963048,-070.5674667
02537,+41.7284182,-070.4358123
02538,+41.7774759,-070.6421477
02539,+41.3776550,-070.5220800
02540,+41.5738806,-070.6320490
02553,+41.7115610,-070.6228533
02554,+41.2910715,-070.0933285
94520,+37.9952845,-122.0406268
94521,+37.9560116,-121.9561940
94523,+37.9541310,-122.0761396
94525,+38.0529515,-122.2320944
94526,+37.8146133,-121.9905515
94528,+37.8456012,-121.9506119
94530,+37.9215605,-122.2983366
94531,+37.9657646,-121.7758176
94533,+38.2807448,-122.0063799
94534,+38.2448389,-122.1358612
31794,+31.4458842,-083.4526784
31795,+31.4736177,-083.6874624
31796,+31.7701182,-083.8564676
31798,+31.6133777,-083.0659685
31801,+32.5193383,-084.5947552
31803,+32.2854664,-084.4935963
31804,+32.6622656,-084.9134106
02542,+41.7078392,-070.5455195
02556,+41.6394454,-070.6245149
02725,+41.7200425,-071.1882719
02557,+41.4417130,-070.5761430
02561,+41.7667368,-070.5405950
73425,+34.4551040,-097.5584167
02558,+41.7450170,-070.6535130
84515,+38.9748242,-109.1304186
84516,+39.1429866,-111.0688441
72013,+35.4553443,-092.3684721
94542,+37.6598876,-122.0371583
94544,+37.6338216,-122.0572015
94545,+37.6059048,-122.1268730
94546,+37.7172764,-122.0819576
94547,+38.0101662,-122.2617283
75904,+31.3407476,-094.8262296
02559,+41.6902429,-070.6162831
75925,+31.6148554,-095.0624925
75926,+31.2480854,-094.9690987
75928,+30.6713953,-093.7113399
75929,+31.2451620,-094.1755136
75930,+31.3189607,-094.0321643
75931,+31.1136639,-094.0213851
75932,+31.0561473,-093.6156553
02562,+41.7872087,-070.5267169
02563,+41.7281369,-070.4765487
02564,+41.2719344,-069.9844153
75157,+32.4647560,-096.4395197
70464,+30.5511949,-089.9190077
75158,+32.4628311,-096.4021313
70465,+30.8562587,-090.5239299
80476,+39.6706285,-105.8343433
75933,+30.5538121,-093.8126962
75934,+30.8948780,-094.7590821
75935,+31.7325131,-094.1912898
75936,+30.9520763,-094.5796219
75937,+31.4653223,-094.3673172
75137,+32.6432116,-096.9164680
75140,+32.6465729,-095.6875313
75141,+32.6373325,-096.6976088
75142,+32.5681628,-096.2502144
75143,+32.3666864,-096.2450394
75144,+32.1083877,-096.2079546
75146,+32.5645180,-096.7522227
75147,+32.4366759,-096.0795577
75148,+32.1262213,-096.0241305
75149,+32.7733689,-096.6188105
80477,+40.4863910,-106.8293537
80478,+40.0290193,-105.8527717
70466,+30.5687142,-090.5007611
80479,+40.0359116,-106.8144972
75159,+32.6045431,-096.5435374
70471,+30.4070384,-090.0634214
80480,+40.6728876,-106.3415656
80481,+40.1014108,-105.5767641
75150,+32.8173991,-096.6304156
75152,+32.4398710,-096.6780508
75153,+32.1582646,-096.3296323
75154,+32.5217727,-096.8073149
75155,+32.2291128,-096.4755085
75156,+32.2777586,-096.1053322
75160,+32.7584080,-096.3013232
80482,+39.8975217,-105.7857966
80483,+40.0917979,-106.9359802
75938,+30.9405169,-094.3536398
75939,+31.0137793,-094.7974198
70501,+30.2418323,-091.9910394
42044,+36.9575817,-088.2632028
48506,+43.0674720,-083.6243923
42045,+37.0639931,-088.2630968
42047,+37.2950415,-088.3993524
42048,+36.7657052,-088.2285820
42049,+36.5211380,-088.3337561
48507,+42.9669664,-083.7173591
42050,+36.5554213,-089.2192742
42051,+36.8507281,-088.6471737
75941,+31.1870715,-094.7588031
31805,+32.2630561,-084.7395088
31806,+32.2634410,-084.3227238
17566,+39.8671860,-076.1475130
17569,+40.2714332,-076.0965767
48519,+42.9818911,-083.6049529
48529,+42.9703379,-083.6585901
42053,+37.1126488,-088.8778230
42054,+36.7144539,-088.4334566
48532,+43.0110682,-083.7948753
48551,+42.9809938,-083.7168996
48621,+44.7368986,-084.0124267
42103,+36.9456564,-086.2810660
48622,+43.8408358,-084.8812659
48623,+43.5200800,-084.1328405
42104,+36.8768635,-086.4511897
43536,+41.3097940,-084.6328946
43537,+41.5747944,-083.6867007
42120,+36.6728526,-086.2621119
42122,+36.8570701,-086.3536787
42123,+36.8176018,-085.9827343
42124,+36.8705402,-085.6439636
39422,+31.9593128,-089.2577078
43540,+41.6928458,-083.9280254
43541,+41.3007553,-083.8295360
43542,+41.5666651,-083.7650324
43543,+41.6064888,-084.6453462
43545,+41.3908844,-084.1273369
42127,+37.1135695,-085.9184632
39423,+31.1704952,-088.9151193
48624,+44.0610934,-084.4573699
42129,+36.9891449,-085.5854671
42130,+36.9258651,-085.7863060
39425,+31.0603571,-089.0801317
42133,+36.7260468,-085.9562331
39426,+30.6552224,-089.6612595
39427,+31.4801299,-089.8145425
43555,+41.4341293,-084.2543218
43556,+41.3033043,-084.5637286
43557,+41.4873857,-084.3924662
43558,+41.5946979,-083.8783901
73145,+35.4190881,-097.3940456
61871,+40.1902223,-087.9680423
61872,+39.9453764,-088.3781095
61873,+40.1338964,-088.0391224
43560,+41.7005909,-083.7388517
71965,+34.6704847,-093.7465710
71968,+34.5241714,-093.2904959
71969,+34.6692421,-093.6292099
71970,+34.6689345,-093.4891540
43566,+41.4926527,-083.7533900
43567,+41.5803458,-084.1610632
84401,+41.2120121,-112.0345641
71971,+34.3040216,-094.0342570
71972,+34.3828911,-094.2768624
73149,+35.3894171,-097.4893248
71960,+34.4903385,-093.7113668
73150,+35.4012377,-097.3298758
73151,+35.5716808,-097.4165603
71961,+34.6003155,-093.8383599
84403,+41.2149922,-111.8895889
71962,+34.0361950,-093.3227452
71964,+34.4241338,-093.2407307
73159,+35.3878548,-097.5788345
73162,+35.5820109,-097.6409283
42134,+36.7245354,-086.5644833
42140,+36.6565412,-085.8288934
48625,+44.0527691,-084.8396209
40299,+38.1516869,-085.5171721
40402,+37.2918503,-083.9757624
60103,+41.9805463,-088.2047613
40403,+37.5704472,-084.2719308
17744,+41.2409701,-077.1532743
17745,+41.2850717,-077.4711657
94508,+38.5766179,-122.4443883
94509,+37.9965006,-121.8123009
94510,+38.0980706,-122.1359397
94511,+38.0289395,-121.6405212
94512,+38.1348519,-121.8341563
94513,+37.9222276,-121.6683590
94514,+37.8263717,-121.6225460
94515,+38.6348225,-122.6150507
60081,+42.4510137,-088.2254104
94535,+38.2822211,-121.9247148
94536,+37.5705083,-121.9812503
